name,reg,year,month,nl_count_0,nl_count_4,nl_min_0,nl_min_4,nl_max_0,nl_max_4,nl_mean_0,nl_mean_4,nl_sum_0,nl_sum_4,nl_nodata_0,nl_nodata_4,nl_median_0,nl_median_4,nl_std_0,nl_std_4,tw_count,tw_n_settlements,Labor_index,Unemployment_index,Investment_index,Loan_index,Economy_index,Interest_rate_index,Inflation_index,Bankruptcy_index,Export_index,Mortgage_loan_index,Baggage_index,Holiday_index,BMW_index,Mercedes_index,McDonalds_index,Calvin_Klein_index,Gucci_index,Emigration_index,Washing_machine_index,Fridge_index,Sony_index,apple_index,Fitness_index,Recruitment_index,Travel_index,Savings_index,Computer_security_index,Unemployment_benefits_index,Fashion_index,MBA_degree_index,area_sq_km
Cherkaska,UA_71,2010,1,,,,,,,,,,,,,,,,,0,57,57,0,0,0,41,0,0,62,51,0,0,7,16,38,0,48,0,0,57,47,51,19,0,0,33,0,38,0,21,0,20939.982
Chernihivska,UA_74,2010,1,,,,,,,,,,,,,,,,,0,45,54,0,0,49,75,0,46,0,0,0,0,20,39,31,0,0,0,0,0,37,47,62,0,0,60,100,0,0,43,0,31895.225
Chernivetska,UA_77,2010,1,,,,,,,,,,,,,,,,,0,11,25,0,0,0,67,0,0,100,36,0,0,18,20,0,0,0,100,0,0,0,0,0,0,0,98,0,0,0,29,0,8094.667
Dnipropetrovska,UA_12,2010,1,,,,,,,,,,,,,,,,,0,96,74,70,23,0,63,31,43,46,32,34,0,13,15,56,8,31,19,0,37,25,62,46,54,0,14,0,100,0,100,0,31910.455
Donetska,UA_14,2010,1,,,,,,,,,,,,,,,,,0,49,90,44,41,0,79,0,64,37,24,0,0,10,28,55,75,21,22,19,30,12,62,31,44,0,29,100,100,0,78,24,26499.604
Ivano-Frankivska,UA_26,2010,1,,,,,,,,,,,,,,,,,0,88,23,0,0,0,45,0,0,0,60,0,0,6,20,55,0,0,0,0,56,0,100,100,0,0,0,0,0,0,0,0,13933.037
Kharkivska,UA_63,2010,1,,,,,,,,,,,,,,,,,0,37,98,37,28,10,62,74,36,35,25,0,0,14,16,12,0,35,18,60,50,47,100,16,35,17,65,0,16,0,100,59,31434.879
Khersonska,UA_65,2010,1,,,,,,,,,,,,,,,,,0,40,0,0,0,0,57,0,100,0,0,0,0,5,53,0,0,0,0,0,52,30,0,0,35,0,71,0,100,0,48,0,26656.969
Khmelnytska,UA_68,2010,1,,,,,,,,,,,,,,,,,0,19,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20627.613
Kirovohradska,UA_35,2010,1,,,,,,,,,,,,,,,,,0,50,73,0,0,0,28,0,48,0,0,0,0,15,0,0,0,0,0,0,0,38,100,0,0,0,41,0,88,0,20,0,24577.918
Krym,UA_43,2010,1,,,,,,,,,,,,,,,,,0,14,32,0,29,35,90,94,0,100,0,70,0,31,18,32,0,0,0,0,63,48,33,0,0,0,33,0,0,0,86,0,25558.451
